Contrastive loss: 0.1186930388212204 | Regression loss: 1.9339045286178589
Contrastive loss: 0.1988118588924408 | Regression loss: 0.8500100374221802
Contrastive loss: 0.0730794295668602 | Regression loss: 0.8041665554046631
Contrastive loss: 0.0947672575712204 | Regression loss: 0.6836979389190674
Contrastive loss: 0.1802978515625 | Regression loss: 0.6915181279182434
Contrastive loss: 0.0343017578125 | Regression loss: 0.7038889527320862
Contrastive loss: 0.1365153044462204 | Regression loss: 1.2762196063995361
Contrastive loss: 0.25244140625 | Regression loss: 1.6075763702392578
Contrastive loss: 0.2648112177848816 | Regression loss: 1.6218205690383911
Contrastive loss: 0.2095133513212204 | Regression loss: 1.691619634628296
Contrastive loss: 0.30615234375 | Regression loss: 1.9887261390686035
Contrastive loss: 0.1880696713924408 | Regression loss: 0.7699102163314819
Contrastive loss: 0.0652669295668602 | Regression loss: 0.36754095554351807
Contrastive loss: 0.2479248046875 | Regression loss: 2.392465591430664
Contrastive loss: 0.19091796875 | Regression loss: 0.7735396027565002
Contrastive loss: 0.2113037109375 | Regression loss: 0.8314793109893799
Contrastive loss: 0.06982421875 | Regression loss: 1.2103407382965088
Contrastive loss: 0.079345703125 | Regression loss: 0.6602852940559387
Contrastive loss: 0.0669352263212204 | Regression loss: 1.7549359798431396
Contrastive loss: 0.2233072966337204 | Regression loss: 0.5491671562194824
Contrastive loss: 0.1975911557674408 | Regression loss: 1.60273015499115
Contrastive loss: 0.2071940153837204 | Regression loss: 1.3282983303070068
Contrastive loss: 0.0997721403837204 | Regression loss: 1.2993699312210083
Contrastive loss: 0.2793375849723816 | Regression loss: 0.5374914407730103
Contrastive loss: 0.2155354917049408 | Regression loss: 0.8013200163841248
Contrastive loss: 0.1221923828125 | Regression loss: 2.7948203086853027
Contrastive loss: 0.097900390625 | Regression loss: 1.4505494832992554
Contrastive loss: 0.08740234375 | Regression loss: 0.842536211013794
Contrastive loss: 0.0820719450712204 | Regression loss: 1.078160047531128
Contrastive loss: 0.0850016325712204 | Regression loss: 1.3359944820404053
Contrastive loss: 0.0411376953125 | Regression loss: 0.6716809272766113
Contrastive loss: 0.2554931640625 | Regression loss: 0.734281063079834
Contrastive loss: 0.1663004606962204 | Regression loss: 1.2751150131225586
Contrastive loss: 0.1885986328125 | Regression loss: 1.5292716026306152
Contrastive loss: 0.1349690854549408 | Regression loss: 0.9476486444473267
Contrastive loss: 0.1595052182674408 | Regression loss: 1.2626307010650635
Contrastive loss: 0.0810546875 | Regression loss: 0.6903685331344604
Contrastive loss: 0.1413981169462204 | Regression loss: 1.4323689937591553
Contrastive loss: 0.0627848356962204 | Regression loss: 1.299673080444336
Contrastive loss: 0.2663981318473816 | Regression loss: 1.8002359867095947
Contrastive loss: 0.266357421875 | Regression loss: 1.4379169940948486
Contrastive loss: 0.1010335311293602 | Regression loss: 0.6470154523849487
Contrastive loss: 0.0836995467543602 | Regression loss: 2.2872848510742188
Contrastive loss: 0.2998453974723816 | Regression loss: 1.14075767993927
Contrastive loss: 0.2911784052848816 | Regression loss: 1.1693320274353027
Contrastive loss: 0.2426351010799408 | Regression loss: 1.1425962448120117
Contrastive loss: 0.1293538510799408 | Regression loss: 1.300281286239624
Contrastive loss: 0.1471354216337204 | Regression loss: 1.0118424892425537
Contrastive loss: 0.2660319209098816 | Regression loss: 1.3313156366348267
Contrastive loss: 0.0563151054084301 | Regression loss: 0.8763859868049622
Contrastive loss: 0.1429850310087204 | Regression loss: 1.1330336332321167
Contrastive loss: 0.139892578125 | Regression loss: 1.335383415222168
Contrastive loss: 0.1576334685087204 | Regression loss: 0.798699140548706
Contrastive loss: 0.1969401091337204 | Regression loss: 1.2019400596618652
